(all) fucked up	(total) im Arsch
pontifically	priesterliche
pontoon	Ponton
pontoon bridge	Schiffbrücke
pony	Pony  (kleines Pferd)
ponytail	Pferdeschwanz  (Frisur)
pooch	Köter
poodle	Pudel
poodles	Pudel
pool	(Spiel-) Einsatz
pooled	konzentriert
pooling	vereinigend
poolroom	Billiardzimmer
pools	Teiche
pooped	pumpte aus
pooping	auspumpend
poops	pumpt aus
poor	arm
poor in vitamins	vitaminarm
poor in words	wortarm
poor man	Arme
Poor old chap!	Armer Kerl!
poor quality	schlechte Qualität
poor woman	Arme
poorer	armseligere
poorest	ärmste
poorhouse	Armenhaus
poorly	arm
poorness	Armseligkeit
pop	Pop
pop group	Popgruppe
pop music	Popmusik
pop singer	Schlagersänger
pop song	Schlager
pop stack	Stapelspeicher
pope	Papst
popgun	Kindergewehr
poplar	Pappel
poplin	Popelin
popped	weggesteckt
poppet	Mädchen)
poppet head	Docke  (einer Drehbank)
poppet valve	Schnüffelventil
poppies	Mohnblumen
popping	knallend
poppy	Mohnblume
poppycock	Quatsch
pops	Knackgeräusche
populace	Pöbel
popular	beliebt
popular edition	Volksausgabe
popular government	Volksherrschaft
popular poet	Volksdichter
popular speaker	Volksredner
popular speech	Volkssprache
popular sport	Massensport
popularity	Beliebtheit
popularity (rating)	Beliebtheitsgrad
popularization	Popularisierung
popularize	popularisieren
popularized	popularisierte
popularizes	popularisiert
popularizing	popularisierend
popularly	allgemein
populated	bevölkert
populates	bevölkert
populating	bevölkernd
population	Bevölkerung
population explosion	Bevölkerungsexplosion
population policy	Bevölkerungspolitik
population stratum	Bevölkerungsschicht
population surplus	Bevölkerungsüberschuss
populist	Populist
populists	Populisten
populous	volkreich
populously	volkreiches
populousness	Bevölkerungsdichte
porcelain	Porzellan
porch	Vorhalle
porcupine	Stachelschwein
porcupines	Stachelschweine
pore	Pore
pored	gegrübelt
porgies	Fisch
porgy	Fische
poring	grübelnd
pork	Schwein
pork chop	Schweinskotelett
porker	Mastschwein
porkier	dicker
porkiest	dickste
porkily	fett
porkpie	Schweinefleischpastete
porky	fett
porn magazine	Pornoheft
porn movie	Pornofilm
pornographer	Pornograph
pornographic	pornographisch
pornographically	pornographische
pornography	Pornographie
porosities	Poren
porosity	Durchlässigkeit
porous	durchlässig
porously	porös
porousness	Porosität
porridge	Brei
porringer	Suppennapf
port	Anschluss
port of transshipment	Umschlaghafen
port wine	Portwein
portability	Beweglichkeit
portable	tragbar
portable radio	Kofferradio
portable set	Koffergerät
portably	tragbar
portage	Transport
portal	Portal
portcullis	Fallgatter
portend	deuten
portended	deutete
portending	deutend
portends	deutet
portent	Omen
portentous	unheilvoll
portentously	unheilvolle
portentousness	Ungeheuerlichkeit
porter	Gepäckträger
porterage	Transport
porterhouse	Speisehaus
porters	Träger
portfolio	Geschäftsbereich
porthole	Luke
portico	Säulengang
porticoed	mit Säulengang versehen
porticoes	Säulengänge
portioned	teilte auf
portioning	aufteilend
portions	Portionen
portliness	Würde
portly	würdevoll
portmanteau	Handkoffer
portrait	Bildnis
portraitist	Porträtmaler
portraits	Portraits
portraiture	Porträtphotographie
portrayed	porträtierte
portraying	porträtierend
portrays	porträtiert
ports	Häfen
ports of transshipment	Umschlaghäfen
Portugal (pt)	Portugal
portuguese	portugiesisch
pose	Pose
posed	gelegt
poser	knifflige Frage
poses	legt
posh	fesch
poshly	todschick
poshness	Eleganz
posies	Blumensträuße
posing	aufwerfend
posing (formulation) of a question	Fragestellung
posit	postulieren
posited	postulierte
positing	postulierend
position	Lage
position of trust	Vertrauensstellung
position table	Rangliste
positional	Stellungs...
positional macro	Stellungsmakrobefehl
positional notation	Stellenschreibweise  (Zahlen)
positional play	Stellungsspiel
positioned	positioniert
positioning	Marktposition
positioning control	Positioniersteuerung
positioning motor	Einstellmotor
positions	positionen
positive	positiv
positive / negative	definit
positive definite	positiv definit [math.]
positive displacement pump	Druckpumpe
positive sign	Pluszeichen
positively	positiv
positiveness	Bestimmtheit
positivism	Positivismus
posits	postuliert
posse comitatus	Landsturm
posse of constables	Polizeiaufgebot
posses	Schutzpolizeiaufgebote
possessed	besaß
possesses	besitzt
possessing	besitzend
possession	Besessenheit
possessive	besitzanzeigend
possessively	besitzgierig
possessiveness	Besitzgier
possessor	Besitzer
possessors	Besitzer
possibility	Möglichkeit
possible	eventuell
possibly	eventuell
possum	Opossum
post	Amt
post card	Kartengruß
post no bills!	Ankleben verboten!
post office	Postamt
post office box	Postfach
post paid	franko
post-paid	frankiert
postage	Porto
postage due	Strafporto
postage for letters	Briefporto
postage free	portofrei
postal	Post...
postal cheque	Postcheck
postal delivery	Postzustellung
postal order	Postauftrag
postal system	Postwesen
postally	postalisch
postcard	Postkarte
postcards	Postkarten
postcode	Postleitzahl
postdated	datierte nach
postdates	datiert nach
postdating	nachdatierend
postdoctoral	nach der Doktorarbeit
postdoctoral qualification	Habilitation  (Universität)
poste restante	postlagernd
posted	gesandt
poster	Plakat
posteriors	Hinterteil
posterity	Nachwelt
posters	Poster
postgraduate	Graduierte
postgraduate course	Aufbaustudium
postgraduate studies	Aufbaustudium
posthaste	eiligst
posthumous	postum
posthumously	postums
posting	Buchung
postman	Briefträger
postmark	Poststempel
postmarked	abgestempelt
postmarking	abstempelnd
postmaster	Postmeister
postmen	Briefträger
postmortem	postmortal
postnatal	postnatal
postoperative	postoperativ
postoperatively	postoperative
postpaid	frankiert
postpartum	nach der Geburt
postponed	verschob
postponement	Verschiebung
postpones	verschiebt
postponing	verschiebend
postprocessing	Nachbearbeitung
posts	gibt auf
postscript	Nachschrift
postulate	Postulat
postulated	forderte
postulates	fordert
postulating	fordernd
postulation	Forderung
posture	Körperhaltung
postured	posierte
postures	posiert
posturing	posierend
postwar	Nachkriegs...
posy	Blumenstrauß
pot	Kanne
pot herb	Suppenkraut
potable	trinkbar
potables	Getränke
potage	Suppe
potash	Pottasche
potassium	Kalium
potassium cyanide	Zyankali
potation	Getränk
potato	Kartoffel
potato beetle	Kartoffelkäfer
potato dumpling	Kartoffelknödel
potato growing	Kartoffelanbau
potato harvest	Kartoffelernte
potato harvester	Kartoffelerntemaschine
potato salad	Kartoffelsalat
potato soup	Kartoffelsuppe
potato spirit	Kartoffelbranntwein
potatoes	Kartoffeln
potbellied	dickbäuchig
potbellies	Dickbäuche
potbelly	Dickbauch
potboiler	Lohnarbeiter
potency	Macht
potent	Potente
potentate	Potentat
potential	mögliche
potential equalization	Potentialausgleich
potential-free	potentialfrei
potentialities	Möglichkeiten
potentiality	Möglichkeit
potentially	möglicherweise
potentiometer	Teilspannungsmesser
potently	potent
potful	topfvoll
pother	Aufregung
pothers	Aufregungen
pothole	Schlagloch
potion	Zaubertrank
pots	Kochtöpfe
pots of money	Geld wie Heu
potshot	Nahschuss
pottage	Gemüsesuppe
potted	eingelegt
potted plant	Topfpflanze
potter	Töpfer
potteries	Tonwaren
pottery	Keramik
potting	einlegend
potty	kinderleicht
pouchy	sackartig
poult	Huhn
poulterer	Geflügelhändler
poulterers	Geflügelhändler
poultice	eine Packung machen
poulticed	machte eine Packung
poultices	macht eine Packung
poulticing	eine Packung machend
poultry	Geflügel
poultry farm	Geflügelfarm
poultry farming	Geflügelzucht
poultry shears	Geflügelschere
pounce	bimsen
pounced	bimste
pounces	bimst
pouncing	bimsend
pound (lb.)	Pfund
pound (Sterling)	Pfund  (Sterling)
poundage	Anteil pro Pfund
pounded	zerstieß
pounding	zerstoßend
pour on	zugießen
pour out	ausschütten
poured	eingeschenkt
poured in	eingefüllt
poured off	abgegossen
poured on	zugegossen
poured out	ausgegossen
poured towards	zugeströmt
pouring	einschenkend
pouring in	einfüllend
pouring off	abgießend
pouring on	zugießend
pouring out	ausgießend
pouring towards	zuströmend
pours	gießt
pouted	geschmollt
pouter	Kropftaube
pouting	aufgeworfen
pouts	schmollt
poverty	Armut
poverty of words	Wortarmut
powder	Puder
powder coating	Pulverbeschichtung
powdered	bestäubt
powdered milk	Milchpulver
powdering	bestäubend
powdery	pulverig
power	Energie
power	Potenz (n-te ~ von x)
power (of)	Kraft
power amplifier	Endstufe
power blackout	Stromausfall
power brake	Servobremse
power cable	Starkstromkabel
power consumption	Leistungsaufnahme
power current	Starkstrom
power down	Ausschalten
power drain	Leistungsabgabe
power factor	Leistungsfaktor
power fail restart	Neustart
power failure	Stromausfall
power frequency	Netzfrequenz
power input	Eingangsleistung
power line	Starkstromleitung
power lines	Hochspannungsleitungen
power mode	Potenzschreibweise
power of attorney	Prozessvollmacht
power of observation	Beobachtungsgabe
power of persuasion	Überzeugungskraft
power of resistance	Widerstandskräfte
power of veto	Vetorecht
power output	Ausgangsleistung
power plug	Netzstecker
power politics	Machtpolitik
power rating	Belastbarkeit  (Elektrotechnik)
power series	Potenzreihe  [math.]
power set	Potenzmenge  [math.]
power socket	Netzsteckdose
power station	Elektrizitätswerk
power steering	Servolenkung
power struggle	Machtkampf
power supplies	Stromversorgungen
power supply	Stromversorgung
power supply line	Netzanschluss
power supply system	Stromnetz
power supply unit	Versorgungsgerät
power take-off unit	Kraftübertragung
power to weight ratio	Leistungsgewicht
power transistor	Leistungstransistor
power turbine	Arbeitsturbine
power up	Einschalten
power-on	Anschaltung
power-on time	Betriebszeit
power/weigt ratio	Leistungsgewicht
powered	angeschaltet
powerful	gewaltig
powerfull	kraftvoll
powerfully	mächtig
powerfulness	Stärke
powerhouse	Maschinenhaus
powering	mit Kraft versehend
powerless	kraftlos
powerlessly	kraftlos
powerlessness	Machtlosigkeit
pox	Pocken
practicability	Durchführbarkeit
practicable	ausführbar
practicableness	Sachlichkeiten
practicably	ausführbar
practical	brauchbar
practical application	Nutzanwendung
practical course	Praktikum
practical joke	Schabernack
practical training	Praktikum
practical training period	Praktikumszeit
practical work	Praktikum
practicality	Sachlichkeit
practically	praktisch
practicalness	Anwendbarkeit
practice	Gewohnheit
Practice makes perfect.	Durch Training wird man stark.
practice slope	Übungshang
practiced	übte
practices	Ausübungen
practicing	ausübend
practised	ausgeuebt
practises	praktiziert
practising	ausübend
practitioner	Praktiker
pragmatic	pragmatisch
pragmatical	pragmatisch
pragmatically	pragmatisch
pragmatics	Pragmatik
pragmatism	Pragmatik
pragmatist	Pragmatiker
Prague	Prag
prairie	Prärie
praise	Belobigung
praised	angepriesen
praises	lobt
praiseworthily	lobenswerte
praiseworthiness	Löblichkeit
praiseworthy	lobenswert
praising	anpreisend
praisingly	lobende
pranced	paradierte
prances	paradiert
prancing	paradierend
prancingly	paradierende
prank	Possen
prankster	Faxe
pranksters	Faxen
prated	geschwätzt
prater	Schwätzer
prates	plaudert
pratfall	Reinfall
prating	schwatzhaft
prattle	plauderne
prattled	plauderten
prattled away	verplaudertem
prattles	plaudert
prattling	plaudernd
prawn	Garnele
prawns	Garnelen
Pray	Bitte bedenken Sie doch!
prayed	betete
prayer	Gebet
prayer mill	Gebetsmühle
praying	betend
prays	betet
pre	vor
pre amplifier	Vorstufe
pre school	Vorschule
pre-finished	einbaufertig
pre-press	Druckvorstufe
pre-tax (operating) results	Betriebsergebnis  vor Steuern
preached	gepredigt
preacher	Prediger
preaches	predigt
preaching	predigend
preachy	salbadernd
preamble	Einleitung
preambles	Einleitungen
preamplifier	Vorverstärker
prearranged	bestimmte
prearrangement	Vorausbestimmung
prearranges	bestimmt
prearranging	bestimmend
prebend	Pfründe
precarious	unsicher
precariously	prekär
precariousness	Unsicherheit
precast	vorgefertigt
precaution	Schutzmaßnahme
precautionary	vorbeugend
precautionary measure	Vorsichtsmaßregel
precautions	Vorsorgen
preceded	fortgeschritten
precedence	Dringlichkeit
precedency	Vorrang
precedent	Präzedenzfall
precedented	bevorzugt
precedes	geht voran
preceding	fortschreitend
preceding year	Vorjahr
preceeding	fortschreitend
precemption	Bevorrechtigung
precemtive	bevorrechtigt
precentor	Vorsänger
precept	Vorschrift
precepts	Regeln
precession	Kreiselbewegung
precinct	Bezirk
preciosity	Affektiertheit
precious	kostbar
precious metal	Edelmetall
precious stone	Edelstein
preciously	kostbar
preciousness	Kostbarkeit
precipice	Abgrund
precipices	Abgründe
precipitance	Eile
precipitancy	Hast
precipitant	hastig
precipitantly	hastig
precipitated	abgestürzt
precipitates	führt herbei
precipitating	herbeiführend
precipitation	Eile
precipitative	übereilig
precipitator	Ausfällapparat
precipitous	abschüssig
precipitously	abschüssige
precis	Inhaltsangabe
precise	genau
precisely	genau
preciseness	Genauigkeit
precision	Exaktheit
precision mechanic	Feinmechaniker
precision work	Maßarbeit
precluded	ausgeschlossen
precludes	schließt aus
precluding	ausschließen
preclusion	Ausschluss
preclusive	ausschließend
preclusively	ausschließende
precocious	altklug
precociously	altklug
precociousness	Frühreife
precocity	Frühreife
precognition	Vorkenntnis
precompiler	Vorübersetzer
preconceived	bedachte
preconceives	bedenkt
preconceiving	bedenkend
preconception	Vorurteil
precondition	Vorbedingung
preconditioned	vorausgesetzt
precooked	kochte vor
precooking	vorkochend
precooks	kocht vor
precursor	Vorbote
precursors	Vorläufer
precursory	vorausgehend
predacious	räuberisch
predated	datierte vor
predates	vordatiert
predating	vordatierend
predation	Raub
predator	Räuber
predatorily	räuberisch
predatory	räuberisch
predecessor	Vorgänger
predecessor in office	Amtsvorgänger
predecessors	Vorgänger
predefined	vordefiniert
predefinition	Festlegung
predestinated	prädestiniert
predestinates	bestimmt vorher
predestinating	vorherbestimmend
predestination	Prädestination
predestinations	Prädestinationen
predestine	prädestinieren
predestined	prädestinierte
predestines	prädestiniert
predestining	prädestinierend
predeterminate	vorausbestimmen
predeterminated	vorausbestimmt
predeterminating	vorherbestimmend
predetermination	Vorausbestimmung
predeterminations	Vorherbestimmungen
predetermined	bestimmte vorher
predetermines	bestimmt vorher
predetermining	vorherbestimmende
predicable	aussagbar
predicament	Kategorie
predicate	Eigenschaft
predicated	ausgesagt
predicates	sagt aus
predicating	aussagend
predication	Aussage
predicative	aussagend
predictable	voraussagbar
predicted	prophezeihend
predicting	prophezeiend
prediction	Prophezeiung
predictions	Vorhersagen
predictive	prophetisch
predictively	prophetische
predictor	Prophet
predicts	prophezeit
predifined	vordefiniert
predilection	Vorliebe
predispose	prädisponiere
predisposed	prädisponierte
predisposes	prädisponiert
predisposing	prädisponierend
predisposition	Neigung
predominance	Vorherrschaft
predominant	beherrschend
predominantly	vorherrschende
predominated	herrschte vor
predominates	herrscht vor
predominating	vorherrschend
preeminence	Überlegenheit
preeminent	hervorragend
preeminently	hervorragende
preempt	durch Vorkaufsrecht erwerben
preempted	erwarb durch Vorkaufsrecht
preempting	durch Vorkaufsrecht erwerbend
preemption	Vorkauf
preemptor	Vorkaufsberechtigte
preen	putzen
preened	putzte
preening	putzend
preens	putzt
preexisted	existierte vorher
preexisting	vorher existierend
preexists	existiert vorher
prefab	vorgefertigt
prefabricated	vorfabriziert
prefabricated house	Fertighaus
prefabricating	vorfabrizierend
prefabrication	Vorfertigung
prefabs	Fertighäuser
preface	Vorwort
prefaced	eingeleitet
prefaces	leitet ein
prefacing	einleitend
prefatory	einleitend
preferable	vorzuziehen
preferableness	Bevorzugung
preferably	vorzugsweise
preference	Bevorzugung
preferences	Vorlieben
preferential	bevorzugt
preferential treatment	Begünstigung
preferentially	vorzugsweise
prefering	vorziehend
preferment	Beförderung
preferments	Beförderungen
preferred	bevorzugt
preferring	bevorzugend
prefers	bevorzugt
prefiguration	Prototyp
prefigure	prophezeienes
prefigured	prophezeite
prefigures	prophezeite
prefiguring	prophezeiende
prefix	Präfix
prefix number	Vorwahl
prefixal	vorsetzend
prefixed	vorangestellte
prefixes	Vorwahlen
prefixing	voranstellend
preformats	vorformatiert
preformatted	vorformatierte
preformatting	vorformatierend
pregnable	befruchtbar
pregnancies	Schwangerschaften
pregnancy	Schwangerschaft
pregnancy test	Schwangerschaftstest
pregnant	bedeutungsvoll
pregnantly	schwanger
preheated	wärmte vor
preheating	vorwärmend
preheats	wärmt vor
prehensile	zum Greifen geeignet
prehistoric	prähistorisch
prehistoric man	Urmensch
prehistoric men	Urmenschen
prehistorical	prähistorischen
prehistorically	prähistorische
prehistory	Urgeschichte
prejudge	im voraus urteilen
prejudged	urteilte im voraus
prejudges	urteilt im voraus
prejudging	im voraus urteilend
prejudice	Schaden
prejudiced	voreingenommen
prejudices	Vorurteile
prejudicial	nachteilig
prejudicially	nachteilige
prejudicing	mit einem Vorurteil beeinflussen
prelacies	Amtsbereiche
prelacy	Amtsbereich
prelate	Prälat
preliminarily	vorläufig
preliminary	einleitend
preliminary (medical) examination	Physikum
preliminary celebration	Vorfeier
preliminary decision	Vorentscheidung
preliminary discussion	Vorbesprechung
preliminary election	Vorwahl
preliminary examination	Vorexamen
preliminary practice	Vorübung
preliminary proceedings	Ermittlungsverfahren
preliminary question	Vorfrage
preliminary remark	Vorbemerkung
preliminary report	vorbericht
preliminary round	Vorrunde
preliminary studies	Vorstudien
preliminary work	Vorarbeiten
preloaded	vorgeladen
preloading	Laden  der Anfangsgrößen
prelude	Vorspiel
preluded	leitete ein
preludes	Vorspiele
preluding	einleitend
premarital	vorehelich
premature	frühreif
premature birth	Frühgeburt
prematurely	verfrühte
prematureness	Frühreife
prematurity	Voreiligkeit
premed	vormedizinisch
premedical	vormedizinische
premeditated	überlegte vorher
premeditatedly	vorsätzliche
premeditates	überlegt vorher
premeditating	vorher überlegen
premeditation	Vorbedacht
premeditative	vorsätzlich
prementioned	nannte vor
premiered	wurde erstaufgeführt
premieres	Premieren
premiering	erstaufführend
premise	Prämisse
premises	Grundstück
premising	voraussetzend
premium	Bonus
premiums	Prämien
premonition	Warnung
premonitions	Warnungen
premonitorily	warnende
premonitory	warnend
prenatal	vorgeburtlich
prenatally	vorgeburtliche
prenuptial	vorehelich
preoccupancy	Vertieftsein
preoccupation	Vertieftsein
preoccupied	vertieft
preoccupies	erfüllt
preoccupying	erfüllend
preordained	bestimmte vorher
preordaining	vorherbestimmend
preordains	bestimmt vorher
preordination	Vorherbestimmung
prepackage	vorpacken
prepackaged	packte vor
prepackages	packt vor
prepackaging	Vorpackung
prepacking	vorpackend
prepacks	packt vor
prepaid	im voraus bezahlt
prepaid}	frankieren
preparation	Aufbereitung
preparation of a balance sheet	Aufstellung  einer Bilanz
preparations	Vorbereitungen
preparative	vorbereitend
preparatorily	vorarbeitend
preparatory	Ankündigungs...
preparatory training	Vorbildung
preparatory work	Vorarbeit
prepare for	anschicken
prepared	vorbereitet
prepared for	angeschickt
preparedly	bereit
preparedness	Bereitschaft
preparer	Vorbereiter
prepares	bereitet
preparing	aufbereitend
preparing for	anschickend
prepatation	Präparat
prepaying	vorauszahlend
prepayment	Anzahlung
prepays	zahlt voraus
preponderance	Übergewicht
preponderant	überwiegend
preponderated	überwog
preponderates	überwiegt
preposition	Verhältniswort
prepositional	präpositional
prepositionally	präpositionale
prepossessed	erfüllte
prepossesses	erfüllt
prepossessing	erfüllend
prepossession	Voreingenommenheit
preposterous	lächerlich
preposterously	lächerliche
preposterousness	Groteskheit
prepotent	vorherrschend
preprint	Vorabdruck
preprinted	vorgedruckt
preprocessing	Vorverarbeitung
preprofessional	vorberuflich
preprogrammed	vorprogrammiert
prepuce	Vorhaut
prepunched	vorgelocht
prerecorded	nahm vorweg auf
prerecording	vorweg aufnehmend
prerecords	nimmt vorweg auf
prerequisite	Voraussetzung
prerogative	Vorrecht
presage	Prophezeiung
presaged	ahnte
presages	ahnt
presaging	ahnend
presagingly	weissagend
presbyopia	Weitsichtigkeit
presbyopic	weitsichtig
presbyter	Älteste
presbyterian	Presbyterianer
preschool	Vorschule
preschooler	Vorschulkind
preschoolers	Vorschüler
prescience	Vorherwissen
prescient	vorherwissend
presciently	vorherwissende
prescribed	schrieb vor
prescribed	(wie) vorgeschrieben
prescribes	schreibt vor
prescribing	vorschreibend
prescript	Vorschrift
prescription	Rezept
prescription charge	Rezeptgebühr
prescriptions	Vorschriften
prescriptive	verordnend
prescriptively	verordnende
preselect	vorauswählen
preselection	Vorwahl
presence	Anwesenheit
presence of mind	Geistesgegenwart
present	derzeitig (jetzig)
present at	anwesend bei
present-day	modern
presentability	Darstellbarkeit
presentable	darstellbar
presentably	darstellbare
presentation	Präsentation
presentation copy	Widmungsexemplar
presentation of a problem	Problemstellung
presentational	vorstellbaren
presentations	Darbietungen
presented	dargelegt
presenter	Moderator
presentiment	Vorahnung
presentiment of death	Todesahnung
presenting	darbietend
presently	bald
presentment	Darstellung
presents	Geschenke
preservable	erhaltbar
preservation	Erhaltung
preservative	Konservierungsmittel
preserve	Konserve
preserved	aufbewahrt
preserver	Bewahrer
preservered food	Konserve
preserves	bewahrt
preserving	bewahrend
preset	Standard...
presets	bestimmt voraus
presetting	vorausbestimmend
preshrunk	sanforisiert
presided	präsidierte
presidencies	Präsidentschaften
presidency	Präsidialperiode
president	Präsident
president ship	Präsidentschaft
presides	präsidiert
presiding	präsidierend
presort	vorsortieren
presorting	Vorsortierung
press	Presse  (Maschine)
press after	nachdrängen
press agency	Nachrichtenbüro
press agent	Werbeleiter
press board	Pressspanplatte
press button	Druckknopf
press censorship	Zensur der Presse
press center 	Pressezentrum
press centre	Pressezentrum
press clipping 	Presseausschnitt
press commentaries	Pressestimmen
press conference	Pressekonferenz
press copy	Durchschlag
press cutting	Presseausschnitt
press date	Redaktionsschluss
press down	herabdrücken
press fit	Presspassung
press key	Druckschalter
press portofolio	Pressemappen
press release	Pressemitteilung
press report	Pressebericht
press review	Presseschau
press spokesman	Pressesprecher
press stud	Druckknopf
press to talk button	Sprechtaste
press-on	Andruck...
press-up	Liegestütz
pressed	aufgebügelt
pressed after	nachgedrängt
pressed down	herabgedrückt
pressed forward	vorgedrängt
pressed hard	bedrängte
presses	drückt
presses hard	bedrängt
pressing	Druck auf
pressing after	nachdrängend
pressing down	herabdrückend
pressing hard	bedrängend
pressingly	pressend
pressings	Stanzen
pression	Druck
pressman	Pressevertreter
pressmen	Druckereileiter
pressroom	Druckraum
presssing	drückend
pressure	Dringlichkeit
pressure balance	Druckregler
pressure charging	Aufladung
pressure cooker	Dampfkochtopf
pressure gage	Druckmesser
pressure gauge	Druckmesser
pressure plate	Druckplatte
pressure-sensitive	druckempfindlich
pressured	drückte
pressures	drückt
pressurestat	Druckregler
pressuring	drückend
pressurize	druckfest machen
pressurized	machte druckfest
pressurizes	macht druckfest
pressurizing	druckfest machend
prestidigitation	Fingerfertigkeit
prestidigitator	Taschenspieler
prestige	Prestige
prestigious	prestigevoll
prestigiously	prestigevolle
prestigiousness	Geltung
prestressed	vorgespannt
prestressed concrete	Spannbeton
presumable	vermutlich
presumably	vermutlich
presumed	vermutete
presumedly	vermutlich
presumes	vermutet
presuming	vermutend
presumption	Einbildung
presumptions	Vermutungen
presumptive	vermutliches
presumptively	vermutlicher
presumptuous	vermessen
presumptuously	vermessene
presumptuousness	Vermessenheit
presumputous	vermessenen
presupposing	voraussetzend
presupposition	Voraussetzung
pretence	Vortäuschung
pretences	Vortäuschungen
pretended	angeblich
pretender	Thronbewerber
pretending	vorgebend
pretends	gibt vor
pretense	Vortäuschung
pretenses	Vortäuschungen
pretension	Anmassung
pretensions	Anspruch
pretentious	anspruchsvoll
pretentiously	anspruchsvolle
pretentiousness	Anmasslichkeit
preternatural	übernatürlich
preternaturally	übernatürliche
pretested	testete vor
pretesting	vortestend
pretests	testet vor
pretext	Scheingrund
prettied	machte schöner
prettier	hübscher
prettiest	hübscheste
prettified	verschönerte
prettifies	verschönert
prettifying	verschönernd
prettily	hübsche
prettiness	Hübschheit
pretty	beträchtlich
prettying	schöner machend
pretzel	Brezel
prevailed	überwog
prevailing	überwiegend
prevailingly	herrschend
prevails	überwiegt
prevalence	allgemeine Geltung
prevalent	vorherrschend
prevalently	häufig
prevaricate	Ausflüchte machen
prevaricated	machte Ausflüchte
prevaricates	macht Ausflüchte
prevaricating	Ausflüchte machend
prevarication	Ausflucht
prevent	verhindert
preventability	Verhütbarkeit
preventable	verhütbar
preventative	Verhinderung
prevented	verhinderte
preventible	vermeidbar
preventing	verhindernd
prevention	Abwendung
prevention of accidents	Unfallverhütung
preventions	Verhinderungen
preventive	präventiv
preventive detention	Sicherungsverwahrung
preventive maintenance	vorbeugende Wartung
preventive measure	Verhütungsmaßnahme
preventively	vorbeugend
prevents	verhindert
preview	Vorschau
previewed	schaute vor
previous	vor...
previous achievements	Vorarbeiten
previous conviction	Vorstrafe
previous knowledge	Vorkenntnis
previous speaker	Vorredner
previously	vorher
previously convicted	vorbestraft
previus day	vorheriger
prewievs	Vorschauen
prewritten	geschrieben
prey	Beute
preyed	beraubte
preying	beraubend
price	bereits
price cut to the bone	Schleuderpreis
price cuts	Preisabbau
price cutting	Preissenkung
price deduction	Preisnachlass
price fixing	Preisfestsetzung
price fluctuation	Kursschwankung
price increase	Preiserhöhung
price list	Preisliste
price maintenance	Preisbindung
price per unit	Stückpreis
price policy	Preispolitik
price quote	Preisangebot
price reduction	Preissenkung
price tag	Preisschild
price war	Preiskampf
priced	bewertete
priceless	preislos
pricelessly	unbezahlbare
pricelessness	Unschätzbarkeit
prices	Preise
Prices are on the decrease.	Die Preise sinken.
prices are rising	die Preise steigen
prices are softening (hardening)	die Kurse geben nach (ziehen an)
Prices are subject to change without notice	Preisänderungen vorbehalten
Prices continued to rise.	Die Preise stiegen weiter.
pricey	teuer
pricing	Preisgestaltung
prick	Stachel
pricked all over	zerstach
pricker	Ahle
pricking all over	zerstechend
prickles	sticht
pricks all over	zersticht
pride	Hochmut
pride of place	Standesdünkel
prided	bildete sich ein
prideful	hochmütig
pridefully	stolze
prides	bildet sich ein
pried	holte heraus
priest	Priester
priest	Pfarrer (katholisch)
priesthood	Priesterschaft
priestliness	Priester
priestly	priesterlich
prig	eingebildet
priggish	eingebildet
priggishly	eingebildete
prigs	Musterknaben
primacies	Vorränge
primacy	Vorrang
primal	hauptsächlich
primarily	erstrangig
primary	anfangs...
primary data	Primärdaten
primary data entry	beleglose Datenerfassung
primary file	Primärdatei
primary matter	Urstoff
primary school	Elementarschule
primary sedimentation basin	Vorklärbecken
primary storage	Hauptspeicher
primates	Primaten
prime	wichtigste
prime cost	Anschaffungskosten
prime minister	Ministerpräsident
prime mover	Antriebsmaschine
prime number	Primzahl
primed	besoffen
primely	wesentlichst
primeness	Wichtigkeit
primer	Fibel
primes	macht scharf
primeval	urzeitlich
primevally	urzeitliche
priming	vorbereiten
priming charge	Zündsatz
primitiv	primitive
primitive	primitiv
primitive colour	Grundfarbe
primitive state	Urzustand
primitive times	Urzeit
primitively	primitiv
primitiveness	Ursprünglichkeit
primitivism	Primitivismus
primness	Steifheit
primordial	ursprünglich
primordially	ursprüngliche
primped	verschönerte sich
primps	verschönert sich
primrose	Primel
primroses	Primeln
prince	Königssohn
princely	prinzlich
princess	Königstochter
principal	erstrangig
principal axis	Hauptachse  [math.]
principal axis theorem	Hauptachsentheorem  [math.]
principal dancer	Solotänzer
principal form	Stammform
principal item	Kernstück
principal meal	Hauptmahlzeit
principal offender	Haupttäter
principal office	Firmensitz
principal shareholder	Hauptaktionär
principal stress	Normalspannung
principalities	Fürstentümer
principality	Fürstentum
principally	grundsätzlich
principals	Universitätsrektoren
principle	Grundsatz
principle of causality	Kausalprinzip
principle of law	Rechtsgrundsatz
principled	mit hohen Grundsätzen
principles	Grundsätze
print	Druck
print space	Satzspiegel
print span	Druckbreite
print width	Druckbreite
printability	Druckfähigkeit
printable	druckbar
printables	druckbare
printed	bereits gedruckt
printed characters	Druckbuchstaben
printed circuit board	Leiterplatte
printed form	Vordruck
printed matter	Drucksache
printer	Drucker
printer out of paper	kein Papier im Drucker
printer overflow	Seitenüberlauf
printers	Drucker
printet	gedruckt
printhead	Druckkopf
printing	Druck
printing consultant	Berater für Druckangelegenheiten
printing licence	Druckerlaubnis
printing machine	Druckmaschine
